dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),Location
81,4200.0,7980000.0,1850000.0,966000.0,5460000.0,546000.0,1040000.0,54450000.0,Tasikmalaya
82,100.0,100000.0,55000.0,23000.0,130000.0,13000.0,250000.0,1620000.0,Tasikmalaya
83,100.0,100000.0,60000.0,23000.0,130000.0,13000.0,250000.0,1620000.0,Tasikmalaya
84,2100.0,1995000.0,1450000.0,483000.0,2730000.0,273000.0,310000.0,27900000.0,Tasikmalaya
85,2800.0,5040000.0,2000000.0,644000.0,3640000.0,364000.0,380000.0,36450000.0,Tasikmalaya
86,3500.0,14700000.0,1600000.0,805000.0,4550000.0,455000.0,275000.0,48150000.0,Tasikmalaya
87,1960.0,3724000.0,1650000.0,450800.0,2548000.0,254800.0,296000.0,24900000.0,Tasikmalaya
88,100.0,100000.0,90000.0,23000.0,130000.0,13000.0,300000.0,1620000.0,Tasikmalaya
89,2100.0,3675000.0,1300000.0,966000.0,2100000.0,273000.0,310000.0,27900000.0,Tasikmalaya
90,100.0,100000.0,65000.0,23000.0,130000.0,13000.0,350000.0,1620000.0,Tasikmalaya
91,2800.0,5320000.0,1600000.0,644000.0,3640000.0,364000.0,380000.0,36450000.0,Tasikmalaya
92,100.0,100000.0,96000.0,23000.0,130000.0,13000.0,300000.0,1620000.0,Tasikmalaya
93,100.0,100000.0,90000.0,23000.0,130000.0,13000.0,350000.0,1620000.0,Tasikmalaya
94,2800.0,5040000.0,1450000.0,644000.0,3640000.0,364000.0,380000.0,36450000.0,Tasikmalaya
95,100.0,100000.0,110000.0,23000.0,130000.0,13000.0,350000.0,1620000.0,Tasikmalaya
96,100.0,100000.0,90000.0,23000.0,130000.0,13000.0,300000.0,1620000.0,Tasikmalaya
97,2380.0,4165000.0,700000.0,547400.0,3094000.0,309400.0,388000.0,32400000.0,Tasikmalaya
98,100.0,100000.0,95000.0,23000.0,130000.0,13000.0,320000.0,1620000.0,Tasikmalaya
99,100.0,100000.0,95000.0,23000.0,130000.0,13000.0,320000.0,1620000.0,Tasikmalaya
100,4200.0,7980000.0,2000000.0,966000.0,5460000.0,546000.0,399999.9999999999,54450000.0,Tasikmalaya
101,100.0,100000.0,90000.0,23000.0,130000.0,13000.0,270000.0,1620000.0,Tasikmalaya
102,100.0,100000.0,92000.0,23000.0,130000.0,13000.0,250000.0,1620000.0,Tasikmalaya
103,2520.0,4536000.0,2045000.0,579600.0,3276000.0,327600.0,352000.0,33300000.0,Tasikmalaya
104,100.0,100000.0,140000.0,23000.0,130000.0,13000.0,350000.0,1620000.0,Tasikmalaya
105,2100.0,3675000.0,895000.0,483000.0,2730000.0,273000.0,400000.0,27900000.0,Tasikmalaya
106,3500.0,6125000.0,2030000.0,805000.0,4550000.0,455000.0,500000.0,48150000.0,Tasikmalaya
107,100.0,100000.0,97000.0,23000.0,130000.0,13000.0,250000.0,1620000.0,Tasikmalaya
108,100.0,100000.0,90000.0,23000.0,130000.0,13000.0,350000.0,1620000.0,Tasikmalaya
109,2800.0,4900000.0,1225000.0,644000.0,3640000.0,364000.0,430000.0,36450000.0,Tasikmalaya
110,2800.0,4900000.0,500000.0,644000.0,3640000.0,364000.0,430000.0,36450000.0,Tasikmalaya
