dmu,Land area (m2),Land lease value (IDR),Labor cost (IDR),Seed purchase value (IDR),Fertilizer purchase value (IDR),Pesticide purchase value (IDR),Equipment rent value (IDR),Production value (IDR),Location
17,17000.0,255000000.0,7200000.0,3910000.0,22100000.0,2210000.0,5400000.0,153000000.0,Karawang
18,2500.0,10000000.0,4000000.0,575000.0,3250000.0,325000.0,5250000.0,12800000.0,Karawang
19,30000.0,99000000.0,8000000.0,6900000.0,39000000.0,4800000.0,1800000.0,208000000.0,Karawang
20,6000.0,18000000.0,3000000.0,1380000.0,7800000.0,1500000.0,1390000.0,28200000.0,Karawang
21,20000.0,10000000.0,5000000.0,4600000.0,26000000.0,2600000.0,3190000.0,148500000.0,Karawang
22,10000.0,15000000.0,3000000.0,2300000.0,13000000.0,1500000.0,3190000.0,82400000.0,Karawang
23,10000.0,10000000.0,3000000.0,2300000.0,13000000.0,1200000.0,1190000.0,81600000.0,Karawang
24,10000.0,15000000.0,6000000.0,2300000.0,13000000.0,1200000.0,2690000.0,81600000.0,Karawang
25,20000.0,12000000.0,7500000.0,4600000.0,26000000.0,2600000.0,5400000.0,153000000.0,Karawang
26,8000.0,12000000.0,3500000.0,1840000.0,10400000.0,1200000.0,1390000.0,60600000.0,Karawang
27,8000.0,14400000.0,3000000.0,1840000.0,10400000.0,1440000.0,1450000.0,50500000.0,Karawang
28,10000.0,18000000.0,3800000.0,2300000.0,13000000.0,1200000.0,2690000.0,80800000.0,Karawang
29,30000.0,15000000.0,16000000.0,6900000.0,39000000.0,3900000.0,2000000.0,237600000.0,Karawang
30,20000.0,15000000.0,4300000.0,4600000.0,26000000.0,4000000.0,2800000.0,122400000.0,Karawang
31,10000.0,12000000.0,2400000.0,2300000.0,13000000.0,1300000.0,1300000.0,62400000.0,Karawang
32,10000.0,12000000.0,2400000.0,2300000.0,13000000.0,1300000.0,1190000.0,79200000.0,Karawang
33,20000.0,12000000.0,4300000.0,4600000.0,26000000.0,4000000.0,2500000.0,138600000.0,Karawang
34,16000.0,9600000.0,4200000.0,3680000.0,20800000.0,4000000.0,2590000.0,112800000.0,Karawang
35,15000.0,12000000.0,3500000.0,3450000.0,19500000.0,3750000.0,1690000.0,99000000.0,Karawang
36,10000.0,12000000.0,2400000.0,2300000.0,13000000.0,1300000.0,1300000.0,69300000.0,Karawang
37,16000.0,12000000.0,4700000.0,3680000.0,20800000.0,2560000.0,1790000.0,117002000.0,Karawang
38,10000.0,12000000.0,2500000.0,2300000.0,13000000.0,1300000.0,1190000.0,80800000.0,Karawang
39,5000.0,12000000.0,1400000.0,1150000.0,6500000.0,650000.0,690000.0,66150000.0,Karawang
40,15000.0,12000000.0,3500000.0,3450000.0,19500000.0,3750000.0,1690000.0,99000000.0,Karawang
41,10000.0,12000000.0,2400000.0,2300000.0,13000000.0,1300000.0,1300000.0,62400000.0,Karawang
42,7000.0,14700000.0,2000000.0,1610000.0,9100000.0,910000.0,1350000.0,39600000.0,Karawang
43,11500.0,11500000.0,2700000.0,2645000.0,14950000.0,3450000.0,2490000.0,67200000.0,Karawang
44,19000.0,11400000.0,4500000.0,4370000.0,24700000.0,3800000.0,2200000.0,252900000.0,Karawang
45,20000.0,12000000.0,4400000.0,4800000.0,26000000.0,2600000.0,1190000.0,196000000.0,Karawang
46,28000.0,117600000.0,32000000.0,6440000.0,36400000.0,5040000.0,4950000.0,155200000.0,Karawang
47,10000.0,12000000.0,2200000.0,2300000.0,13000000.0,3000000.0,1190000.0,48000000.0,Karawang
48,10000.0,12000000.0,2400000.0,2300000.0,13000000.0,1300000.0,1300000.0,62400000.0,Karawang
49,6000.0,15000000.0,1800000.0,1380000.0,7800000.0,780000.0,1390000.0,41600000.0,Karawang
50,7000.0,11900000.0,1800000.0,1610000.0,9100000.0,910000.0,1380000.0,52000000.0,Karawang
51,10000.0,12000000.0,2600000.0,2300000.0,13000000.0,2500000.0,1300000.0,63000000.0,Karawang
52,20000.0,18000000.0,4300000.0,4600000.0,26000000.0,4000000.0,2700000.0,126000000.0,Karawang
53,20000.0,70000000.0,3700000.0,4600000.0,26000000.0,2600000.0,2190000.0,169400000.0,Karawang
1,10000.0,30000000.0,5000000.0,2300000.0,13000000.0,3000000.0,1890000.0,47000000.0,Subang
2,10000.0,7000000.0,10000000.0,2300000.0,13000000.0,2000000.0,1500000.0,133650000.0,Subang
3,14500.0,7250000.0,2700000.0,3335000.0,18850000.0,4350000.0,2965000.0,193050000.0,Subang
4,5600.0,2800000.0,6500000.0,1288000.0,7280000.0,1008000.0,660000.0,37720000.0,Subang
5,1000.0,6250000.0,700000.0,350000.0,1300000.0,130000.0,1300000.0,13050000.0,Subang
6,1000.0,6250000.0,700000.0,350000.0,1300000.0,130000.0,3500000.0,13050000.0,Subang
7,7000.0,29400000.0,7000000.0,1610000.0,9100000.0,910000.0,4000000.0,69300000.0,Subang
8,700.0,1610000.0,700000.0,350000.0,910000.0,91000.0,1200000.0,9300000.0,Subang
9,7000.0,24500000.0,7000000.0,1610000.0,9100000.0,910000.0,7500000.0,94000000.0,Subang
10,5000.0,17500000.0,7000000.0,1150000.0,6500000.0,650000.0,7500000.0,66150000.0,Subang
11,1000.0,3500000.0,300000.0,150000.0,1300000.0,130000.0,7500000.0,13050000.0,Subang
12,5000.0,17500000.0,7000000.0,1150000.0,5000000.0,650000.0,7500009.0,66150000.0,Subang
13,1700.0,2975000.0,3000000.0,391000.0,2550000.0,221000.0,7470000.0,23400000.0,Subang
14,1000.0,5000000.0,700000.0,150000.0,1500000.0,130000.0,7500009.0,13050000.0,Subang
15,1000.0,5000000.0,1200000.0,150000.0,2000000.0,130000.0,2500000.0,13050000.0,Subang
16,1400.0,980000.0,500000.0,322000.0,1820000.0,182000.0,330000.0,17550000.0,Subang
17,2520.0,2016000.0,500000.0,579600.0,3276000.0,327600.0,272000.0,33300000.0,Subang
18,1400.0,1260000.0,500000.0,322000.0,1820000.0,182000.0,295000.0,17550000.0,Subang
19,1500.0,15000000.0,1500000.0,150000.0,1950000.0,195000.0,2450000.0,19800000.0,Subang
20,750.0,3000000.0,1000000.0,150000.0,1500000.0,97500.0,2225000.0,9900000.0,Subang
21,750.0,3000000.0,1000000.0,150000.0,1500000.0,97500.0,2225000.0,9900000.0,Subang
22,1700.0,9860000.0,2000000.0,391000.0,2550000.0,221000.0,3900000.0,23850000.0,Subang
23,20000.0,50000000.0,15000000.0,4600000.0,26000000.0,2600000.0,2200000.0,267300000.0,Subang
24,15000.0,39000000.0,12000000.0,3450000.0,19500000.0,1950000.0,1390000.0,84150000.0,Subang
25,7250.0,34800000.0,8500000.0,1667500.0,9425000.0,942500.0,915000.0,41850000.0,Subang
26,10000.0,35000000.0,10000000.0,2300000.0,13000000.0,1300000.0,1190000.0,133650000.0,Subang
27,1600.0,3040000.0,700000.0,560000.0,2080000.0,208000.0,670000.0,22950000.0,Subang
28,5000.0,8750000.0,6500000.0,750000.0,6500000.0,500000.0,690000.0,34200000.0,Subang
29,2500.0,4375000.0,550000.0,500000.0,3250000.0,350000.0,690000.0,33300000.0,Subang
30,10000.0,18000000.0,9000000.0,2300000.0,13000000.0,1300000.0,1190000.0,59400000.0,Subang
31,1000.0,1800000.0,500000.0,100277.15154898001,1300000.0,500000.0,440000.0,13050000.0,Subang
32,9000.0,17100000.0,12000000.0,2070000.0,11700000.0,1170000.0,1090000.0,118800000.0,Subang
33,2700.0,4725000.0,700000.0,405000.0,3510000.0,297000.0,595000.0,26700000.0,Subang
34,4500.0,7875000.0,1200000.0,450000.0,5850000.0,585000.0,640000.0,39825000.0,Subang
35,1300.0,2340000.0,690000.0,520000.0,1690000.0,325000.0,450000.0,13050000.0,Subang
36,8000.0,15200000.0,8500000.0,1840000.0,10400000.0,1040000.0,990000.0,71100000.0,Subang
37,1800.0,3150000.0,1350000.0,630000.0,2340000.0,360000.0,730000.0,17050000.0,Subang
38,1500.0,2625000.0,690000.0,450000.0,1950000.0,240000.0,490000.0,13050000.0,Subang
39,1800.0,3240000.0,500000.0,630000.0,2340000.0,234000.0,730000.0,17050000.0,Subang
40,5000.0,9500000.0,6600000.0,500000.0,6500000.0,500000.0,690000.0,51300000.0,Subang
41,1100.0,1925000.0,500000.0,330000.0,1430000.0,330000.0,520000.0,10400000.0,Subang
