Regency,Tier,Raw_Metric,Original_Row_Index,scaled_log_metric,anomaly_label,anomaly_score,Threat_Level
Garut,1. Farmer,5785.714285714285,1,-0.7355458526058907,1,0.24752751999942002,COMPLIANT
Garut,1. Farmer,5785.714285714285,2,-0.7355458526058907,1,0.24752751999942002,COMPLIANT
Garut,1. Farmer,7425.0,3,-0.36912040535503016,1,0.2759741376016003,COMPLIANT
Garut,1. Farmer,13050.0,4,0.4592686092434759,1,0.29654809781650365,COMPLIANT
Garut,1. Farmer,12750.0,5,0.4251047368707011,1,0.28614716939530427,COMPLIANT
Garut,1. Farmer,4500.0,6,-1.104677884340483,1,0.21469230797801386,COMPLIANT
Garut,1. Farmer,8100.0,7,-0.24130898338753048,1,0.2853439100060853,COMPLIANT
Garut,1. Farmer,5607.142857142857,8,-0.7815946486391393,1,0.24387689350604064,COMPLIANT
Garut,1. Farmer,5940.0,9,-0.6968898421194092,1,0.2494418514861398,COMPLIANT
Garut,1. Farmer,13017.857142857143,10,0.4556459650382187,1,0.2969226848020018,COMPLIANT
Garut,1. Farmer,13050.0,11,0.4592686092434759,1,0.29654809781650365,COMPLIANT
Garut,1. Farmer,9400.0,12,-0.02266581753233312,1,0.2916075143758663,COMPLIANT
Garut,1. Farmer,6714.285714285715,13,-0.5169127171988503,1,0.26719512564042686,COMPLIANT
Garut,1. Farmer,9130.434782608696,14,-0.06540651842706122,1,0.28173792219852006,COMPLIANT
Garut,1. Farmer,13200.0,15,0.47605716066788106,1,0.29772377017976187,COMPLIANT
Garut,1. Farmer,5625.0,16,-0.7769242706378022,1,0.24405952244429546,COMPLIANT
Garut,1. Farmer,13285.714285714286,17,0.4855651761141839,1,0.2971186817960385,COMPLIANT
Garut,1. Farmer,12825.0,18,0.43372047598782093,1,0.29056230143718426,COMPLIANT
Garut,1. Farmer,4821.428571428572,19,-1.0033426176962543,1,0.23993446404774854,COMPLIANT
Garut,1. Farmer,4821.428571428572,20,-1.0033426176962543,1,0.23993446404774854,COMPLIANT
Garut,1. Farmer,5400.0,21,-0.836884745215023,1,0.23727807169114418,COMPLIANT
Garut,1. Farmer,4821.428571428572,22,-1.0033426176962543,1,0.23993446404774854,COMPLIANT
Garut,1. Farmer,5400.0,23,-0.836884745215023,1,0.23727807169114418,COMPLIANT
Garut,1. Farmer,4821.428571428572,24,-1.0033426176962543,1,0.23993446404774854,COMPLIANT
Garut,1. Farmer,7425.0,25,-0.36912040535503016,1,0.2759741376016003,COMPLIANT
Garut,1. Farmer,6930.0,26,-0.47046330095415917,1,0.2743095993460258,COMPLIANT
Garut,1. Farmer,7071.428571428572,27,-0.4407878603112475,1,0.2758319572762126,COMPLIANT
Garut,1. Farmer,6590.0,28,-0.5443573000333068,1,0.26416159530043754,COMPLIANT
Garut,1. Farmer,14500.0,29,0.6140418735487186,1,0.2732501781305198,COMPLIANT
Garut,1. Farmer,12825.0,30,0.43372047598782093,1,0.29056230143718426,COMPLIANT
Garut,1. Farmer,7214.285714285715,31,-0.41140911044966044,1,0.27528430149307587,COMPLIANT
