dmu,Number of machines (unit),Value of milled grains (IDR),Amount of milled rice (Kg),Labor cost (IDR),Supporting equipment cost (IDR),nilaiberashasilgiling,Total revenue of milling machine (IDR),Location
10,2.0,225000000.0,28575.0,3595037.98670466,2000000.0,276501125.8320532,24000000.0,Subang
11,3.0,202500000.0,28350.0,4050000.0,250000.0,274323951.6129032,23400000.0,Subang
12,2.0,180000000.0,24600.0,3600000.0,400000.0,238037714.6270694,20800000.0,Subang
13,4.0,200000000.0,24000.0,14380151.94681864,400000.0,232231916.709336,20800000.0,Subang
14,4.0,200000000.0,30000.0,5392556.98005699,1000000.0,290289895.88667,20800000.0,Subang
15,3.0,171000000.0,24054.0,7190075.97340932,200000.0,232754438.52193204,19760000.0,Subang
16,2.0,157000000.00000015,22050.0,2000000.0,150000.0,213363073.47670245,18200000.0,Subang
17,2.0,165000000.0,18900.0,7190075.97340932,500000.0,151200000.0,4000000.0,Subang
18,3.0,110000000.0,15750.0,7190075.97340932,500000.0,126000000.0,13000000.0,Subang
19,1.0,100000000.0,10000.0,14380151.94681864,500000.0,96763298.62889001,10400000.0,Subang
20,4.0,100000000.0,10000.0,14380151.94681864,500000.0,96763298.62889001,6000000.0,Subang
21,3.0,100800000.0,10000.0,21570227.92022796,4000000.0,94000000.0,12000000.0,Subang
1,1.0,600000000.0,60000.0,3595037.98670466,1599538.46153846,600000000.0,62400000.0,Tasikmalaya
2,2.0,400000000.0,40000.0,1797518.99335233,1599538.46153846,400000000.0,9600000.0,Tasikmalaya
3,1.0,400000000.0,52000.0,3595037.98670466,1599538.46153846,520000000.0,41600000.0,Tasikmalaya
4,1.0,300000000.0,30000.0,1797518.99335233,6000000.0,300000000.0,31200000.0,Tasikmalaya
5,1.0,300000000.0,35000.0,1797518.99335233,6000000.0,350000000.0,31200000.0,Tasikmalaya
6,2.0,300000000.0,30000.0,1797518.99335233,6000000.0,300000000.0,9600000.0,Tasikmalaya
7,2.0,200000000.0,23000.0,5392556.98005699,2000000.0,222555586.84644702,9600000.0,Tasikmalaya
8,1.0,125000000.0,12000.0,1797518.99335233,1250000.0,120000000.0,4800000.0,Tasikmalaya
9,1.0,120000000.0,14000.0,1797518.99335233,1200000.0,140000000.0,4800000.0,Tasikmalaya
10,1.0,60000000.0,7200.0,1797518.99335233,600000.0,72000000.0,4800000.0,Tasikmalaya
11,2.0,56000000.0,6000.0,8987594.96676165,1200000.0,60000000.0,5000000.0,Tasikmalaya
12,2.0,55000000.0,6000.0,7000000.0,2500000.0,59400000.0,5200000.0,Tasikmalaya
13,1.0,42500000.0,5800.0,4200000.0,280000.0,63800000.0,1000000.0,Tasikmalaya
14,1.0,37500000.0,4500.0,3000000.0,1599538.46153846,43543484.3830005,3900000.0,Tasikmalaya
15,1.0,34500000.0,3800.0,2400000.0,500000.0,41040000.0,3900000.0,Tasikmalaya
16,1.0,25000000.0,3000.0,7190075.97340932,500000.0,29028989.588667,2600000.0,Tasikmalaya
17,1.0,28500000.0,3000.0,3595037.98670466,250000.0,29700000.0,2600000.0,Tasikmalaya
18,1.0,23280000.0,2550.0,1800000.0,180000.0,27540000.0,2522000.0,Tasikmalaya
19,1.0,21600000.0,2500.0,3000000.0,450000.0,24500000.0,2340000.0,Tasikmalaya
20,1.0,22400000.0,2500.0,1797518.99335233,700000.0,24190824.657222502,1500000.0,Tasikmalaya
21,1.0,15680000.0,1600.0,1200000.0,200000.0,17440000.0,1800000.0,Tasikmalaya
22,1.0,14000000.0,1500.0,1800000.0,350000.0,15000000.0,1456000.0,Tasikmalaya
23,1.0,12000000.0,2000.0,5392556.98005699,500000.0,21000000.0,1300000.0,Tasikmalaya
24,1.0,12100000.0,1500.0,2400000.0,350000.0,15750000.0,1200000.0,Tasikmalaya
25,1.0,9000000.0,1000.0,8950146.65440015,1599538.46153846,9000000.0,1040000.0,Tasikmalaya
26,1.0,8099999.999999997,1300.0,2500000.0,500000.0,12579228.821755702,884000.0,Tasikmalaya
27,1.0,8550000.0,700.0,1797518.99335233,250000.0,6440000.0,780000.0,Tasikmalaya
28,1.0,7500000.0,800.0,8950146.65440015,300000.0,8640000.0,780000.0,Tasikmalaya
29,1.0,3000000.0,300.0,2000000.0,300000.0,2902898.9588667,312000.0,Tasikmalaya
