scaled_log_Total rice purchase (IDR),scaled_log_Building rent cost (IDR),scaled_log_Labor cost (IDR),scaled_log_Supporting equipment cost (IDR),scaled_log_Value of rice sold (IDR),scaled_log_Total rice purchase (kg),scaled_Total precipitation (%),scaled_Precipitation quality (%),Regency,Regency_encoded
-2.030711170599276,-1.53513609059004,-1.80752270788429,-1.0959024804452533,-1.951353479262544,-2.001009370086895,-0.2941176470588235,-0.2127659574468085,Garut,0
-2.030711170599276,-1.53513609059004,-1.263404514610211,-1.0959024804452533,-1.951353479262544,-2.001009370086895,-0.2941176470588235,-0.2127659574468085,Garut,0
-1.6410593019426285,0.0,0.0055299068238288,0.165956282560088,-1.8691646536941269,-1.7328109207668232,-0.2941176470588235,-0.2127659574468085,Garut,0
-1.7299137866904446,-1.4093449700333391,0.1937845717935488,-1.560874542731994,-1.7819993640102774,-1.812047425351484,0.5882352941176471,0.0,Garut,0
-1.8870525239486635,-1.0,-0.576163982102276,-1.0959024804452533,-1.765368335633696,-1.812047425351484,-0.2941176470588235,-0.2127659574468085,Garut,0
-1.8870525239486635,-1.0,-0.576163982102276,-1.0932121577484313,-1.765368335633696,-1.812047425351484,-0.2941176470588235,-0.2127659574468085,Garut,0
-1.1935605320298046,-1.0,-0.8944530167802044,-1.0959024804452533,-1.4039630467294968,-1.333640204746544,-0.2941176470588235,-0.2127659574468085,Garut,0
-1.145356689971274,0.0,0.3182891458858672,-1.2618583078872612,-1.2690360408669874,-1.2906334062485123,-0.2941176470588235,-0.3404255319148936,Garut,0
-1.145356689971274,-2.449956712131838,-0.8944530167802044,-1.0959024804452533,-1.2690360408669874,-1.2906334062485123,-0.2941176470588235,-0.2127659574468085,Garut,0
-1.145356689971274,-2.449956712131838,0.1937845717935488,-1.0959024804452533,-1.2690360408669874,-1.2906334062485123,-0.2941176470588235,-0.3404255319148936,Garut,0
-1.145356689971274,0.0,0.7379034887362583,-1.0959024804452533,-1.2690360408669874,-1.2906334062485123,-0.2941176470588235,-0.2978723404255319,Garut,0
-0.7145582060760142,0.0,0.5441188997708896,-1.2618583078872612,-0.9420578574221092,-0.9062284613755048,0.0,-0.2127659574468085,Garut,0
-0.6341795415573388,-1.0,-0.3503342838212337,-0.4649734782079643,-0.8204654365355829,-0.834497540093018,-0.2941176470588235,-0.2127659574468085,Garut,0
-0.6040571371044957,0.0,-0.0320451673727706,-0.2031140325249454,-0.7560726943635478,-0.7690105248643322,-0.2941176470588235,-0.2127659574468085,Garut,0
-0.5607995698260574,0.0,0.5441188997708896,-0.4649734782079643,-0.7560726943635478,-0.7690105248643322,-0.2941176470588235,-0.3404255319148936,Garut,0
-0.4740560620588778,0.0,0.1937845717935488,-0.3246595290491688,-0.6419935318198436,-0.6529889282251261,-0.2941176470588235,-0.2127659574468085,Garut,0
-0.3181864406291688,-0.3258080563864272,-0.0320451673727706,-0.2031140325249454,-0.5431736659537507,-0.552482978845909,-0.2941176470588235,-0.2127659574468085,Garut,0
0.1436586657301377,0.0,-0.8019936531264749,0.3690703909382519,0.0,0.0,-0.5882352941176471,-0.425531914893617,Garut,0
0.1436586657301377,0.0,-0.7137560236674528,0.3690703909382519,0.0,0.0,0.0,0.0,Garut,0
0.1436586657301377,0.0,-0.6809857783551269,0.3690703909382519,0.0,0.0,-0.5882352941176471,-0.425531914893617,Garut,0
0.1436586657301377,0.0,-1.6644009573974146,-2.0958976258689885,0.0,0.0,-0.2941176470588235,-0.2127659574468085,Garut,0
0.1436586657301377,-1.53513609059004,-0.8019936531264749,1.8927907614423003,0.0,0.0,-0.2941176470588235,-0.2127659574468085,Garut,0
0.1436586657301377,0.0,0.0055299068238288,0.3690703909382519,0.0,0.0,-0.2941176470588235,-0.2127659574468085,Garut,0
0.1436586657301377,0.0,-1.80752270788429,-2.7268190429029238,0.0,0.0,-0.2941176470588235,-0.2127659574468085,Garut,0
-0.2922355415580395,-3.124147247953565,-0.945115578056869,0.6309300641808907,-0.2128990314466158,-0.0793117016961524,-0.5882352941176471,-0.425531914893617,Indramayu,1
-0.0989544659363619,0.0,0.0055296264809784,0.6309300641808907,-0.2128990314466158,-0.2165547222866474,-0.5882352941176471,-0.425531914893617,Indramayu,1
0.1436586657301377,0.0,0.867937699039013,0.3690703909382519,0.0,0.0,-0.5882352941176471,-0.425531914893617,Indramayu,1
0.1436586657301377,0.0,0.6927705259637409,0.3690703909382519,0.0,0.0,-0.5882352941176471,-0.425531914893617,Indramayu,1
0.1436586657301377,0.0,0.2696598115067432,0.3690703909382519,0.0,0.0,-0.5882352941176471,-0.425531914893617,Indramayu,1
0.1436586657301377,0.0,0.6045331382091051,0.3690703909382519,0.0,0.0,-0.5882352941176471,-0.425531914893617,Indramayu,1
0.1436586657301377,0.0,0.4437700012601035,1.4649745704943729,0.0,0.0,-0.5882352941176471,-0.425531914893617,Indramayu,1
-0.2033810491435182,0.0,0.3744813602233454,0.3690703909382519,0.0,0.0,-0.5882352941176471,-0.425531914893617,Indramayu,1
0.1436586657301377,0.0,0.6872408988399078,1.4649745704943729,0.0,0.0,-0.5882352941176471,-0.425531914893617,Indramayu,1
0.1436586657301377,0.0,0.0427730946112801,1.7712451186296667,0.0,0.0,-0.5882352941176471,-0.425531914893617,Indramayu,1
0.1436586657301377,0.0,0.8624080718233423,1.4649745704943729,0.0,0.0,-0.5882352941176471,-0.425531914893617,Indramayu,1
0.0803786659790016,0.0,0.0,-0.630929609061748,0.1200618140978152,0.2532897041355873,-0.5882352941176471,-0.425531914893617,Indramayu,1
0.349937786477268,0.0,-0.0320451673727706,1.4649745704943729,0.5129633656587672,0.5217942783161906,-0.5882352941176471,-0.425531914893617,Indramayu,1
0.4545560599830637,0.0,0.4437700012601035,2.095904998771067,0.569606827215977,0.5217942783161906,-0.5882352941176471,-0.425531914893617,Indramayu,1
1.1384440731144456,0.0,0.1431219859857254,0.3690703909382519,1.1910640534066537,1.211595966605842,-0.5882352941176471,-0.425531914893617,Indramayu,1
2.20822748454751,0.0,0.4072518978299227,0.3690703909382519,1.8389544374956937,1.870678849675532,-0.5882352941176471,-0.425531914893617,Indramayu,1
0.5845571375474204,0.0,0.5441188997708896,0.3690703909382519,0.5129633656587672,0.5217942783161906,-0.5882352941176471,-0.425531914893617,Karawang,2
-1.4562540664712085,0.0,0.0,0.3690703909382519,-1.0092956847927073,-1.0434380385700364,0.5882352941176471,0.425531914893617,Karawang,2
-0.4408984676804259,0.0,0.0,1.000000606825675,-0.4963323313746617,-0.52175664456816,-0.5882352941176471,-0.425531914893617,Karawang,2
0.7727425039253463,1.2093285786243562,0.7192860701376647,0.3690703909382519,0.6781006852249892,0.6897791053313097,0.0,0.425531914893617,Karawang,2
