scaled_log_Land lease value (IDR),scaled_log_Labor cost (IDR),scaled_log_Seed purchase value (IDR),scaled_log_Fertilizer purchase value (IDR),scaled_log_Pesticide purchase value (IDR),scaled_log_Equipment rent value (IDR),scaled_log_Production value (IDR),scaled_log_Land area (m2),Regency,Regency_encoded
0.1115247743237248,0.1914619056967258,0.1572540539343188,0.1372630636484282,0.1198490485231838,-0.2724632871211148,-0.2733193521202558,0.1442463931105189,Garut,0
0.1115247743237248,-0.3609115324599208,-0.2734223149694121,-0.2934134609564537,-0.2830454871812681,-0.1584805847049173,-0.730223361364989,-0.286386667546044,Garut,0
-0.3885914256515564,-0.1803999380494857,-0.5693226032594967,-0.0717988898092723,-0.0757269040414663,0.0427614583058853,-0.330674916837149,-0.0648133920606915,Garut,0
-0.4473942317273379,-0.1087626061557061,-0.4824838747627679,-0.5024753461356359,-0.6311203287966946,-0.5382876294470667,-0.4158478221365818,-0.4953577678744467,Garut,0
-0.5417574930503952,-0.2812867534917481,-0.6211303329529091,-0.641122154678938,-0.6083232676094334,-0.5144893048928052,-0.5782683587824635,-0.6339068541269179,Garut,0
-0.5876554287848148,-0.3097792634473241,-0.6211303329529091,-0.641122154678938,-0.6083232676094334,-0.5144893048928052,-1.2647667309192878,-0.6339068541269179,Garut,0
-1.286834920018861,-0.3609115324599208,-0.4824838747627679,-0.5024753461356359,-0.2894682380675304,-0.2382506126667395,-0.730223361364989,-0.4953577678744467,Garut,0
-0.9745079273303472,-0.3609115324599208,-0.2734223149694121,-0.2934134609564537,-0.2830454871812681,-0.2724632871211148,-0.7508887880982026,-0.286386667546044,Garut,0
-0.0762639545835231,0.1087626285091516,0.5175157650441414,0.4975245901377376,0.4568714715484157,0.0427614583058853,0.1262291109029003,0.5045594442347225,Garut,0
0.1272472406104104,0.0859301046722939,0.1572540539343188,0.1372630636484282,0.1198490485231838,0.1112165876036112,0.2612240965528912,0.1442463931105189,Garut,0
-0.4172187502901268,0.099745889541273,-0.4824838747627679,-0.5024753461356359,-0.4786208010091002,-0.4256475895194538,-0.4158478221365818,-0.4953577678744467,Garut,0
-0.4473942317273379,-0.0762385186804006,0.2001217481077514,0.1801307472181615,0.1599514799912687,0.1538748070415959,0.0920674158960303,0.1871170349619912,Garut,0
-0.7867193806630797,-0.1087626061557061,-0.2734223149694121,-0.2934134609564537,-0.2830454871812681,-0.5627964536204201,-0.6321083229278004,-0.286386667546044,Garut,0
-1.283357591851428,-1.1265329270084914,-1.3956374981021122,-1.2489537089732026,-0.8468008022461982,-0.3648060514768558,-1.620058652082087,-1.40682157542589,Garut,0
-0.1909244100494623,0.3262879376855178,-0.230554685116192,-0.2505457887664762,-0.2429431621695245,-0.5382876294470667,-0.141042613639179,-0.2435308101948169,Garut,0
-0.0073478671188232,-0.3609115324599208,-0.3692013684262558,-0.3891926371388966,-0.3726460013646456,-0.4688673012930963,-0.8504048303866673,-0.3821315988192768,Garut,0
-0.662180678367278,-0.1362805918719329,-0.7040977190723474,-0.7240898148650822,-0.6859384260476247,-0.5627964536204201,-0.6391583702006775,-0.7167980872777173,Garut,0
-0.0605414895623932,0.7128491171172333,-0.0518078917798947,-0.2348149531528261,-0.0757269040414663,0.0427614583058853,0.0295920321665117,-0.0648133920606915,Garut,0
0.1115247743237248,-0.3609115324599208,-0.2734223149694121,-0.2934134609564537,-0.2830454871812681,-0.2724632871211148,-0.8504048303866673,-0.286386667546044,Garut,0
-0.2008027309143323,0.010950158005602,0.1572540539343188,0.1372630636484282,-0.0326513415572898,0.1112165876036112,-0.3935008292798743,0.1442463931105189,Garut,0
-0.0017386679835478,-0.3609115324599208,-0.4824838747627679,-0.5024753461356359,-0.4786208010091002,-0.3266138080640414,-0.99749505631456,-0.4953577678744467,Garut,0
0.1115247743237248,-0.3609115324599208,-0.2734223149694121,-0.2934134609564537,-0.2830454871812681,-0.2724632871211148,-0.8504048303866673,-0.286386667546044,Garut,0
-0.0017386679835478,-0.3609115324599208,-0.4824838747627679,-0.5024753461356359,-0.4786208010091002,-0.4256475895194538,-0.99749505631456,-0.4953577678744467,Garut,0
0.1115247743237248,-0.3609115324599208,-0.2734223149694121,-0.2934134609564537,-0.2830454871812681,-0.2724632871211148,-0.8504048303866673,-0.286386667546044,Garut,0
-0.7754440437920339,-0.0762385186804006,-0.0518078917798947,-0.0717988898092723,-0.0757269040414663,-0.3266138080640414,-0.330674916837149,-0.0648133920606915,Garut,0
-0.0762639545835231,0.2630992854907479,0.5175157650441414,0.4975245901377376,0.3043708706837468,0.4970830889863159,0.227841105715621,0.5045594442347225,Garut,0
0.1115247743237248,0.3828121167124172,0.7265779423115593,0.7065865845625696,0.6524478073571774,0.7830381871277399,0.4629516666620222,0.7136724767923494,Garut,0
-0.3885914256515564,0.010950158005602,-0.0518078917798947,-0.0717988898092723,-0.0757269040414663,-0.3081639249974027,-0.4093138372320899,-0.0648133920606915,Garut,0
-1.6464562393992712,-1.4156926195825754,-1.7998602425509018,-1.819866066460325,-1.711004450590589,0.33914839376286,-1.7440175796627162,-1.8087600317003063,Garut,0
-0.0303659999656746,-0.3196232608529537,-0.0518078917798947,-0.0717988898092723,-0.2282271025004521,0.0427614583058853,0.0295920321665117,-0.0648133920606915,Garut,0
-0.0990471421762614,0.1517042093507866,-0.0214928680424233,-0.0414838580682872,-0.0473674225176158,-0.2724632871211148,-0.3174910141009111,-0.0345005950790825,Garut,0
-0.3253414972788856,-0.2630991513700902,-0.2734223149694121,-0.2934134609564537,-0.2830454871812681,-0.4048620486438566,-0.5847627279852917,-0.286386667546044,Garut,0
-0.3885914256515564,0.2630992854907479,0.3788687665649503,0.3588776860045136,0.327168110716981,0.4970830889863159,0.1328540227969614,0.3658862071597067,Garut,0
-0.4113746082611677,0.1087626285091516,0.06147483967703,0.0414838590165995,0.0302482681992102,-0.0062671891897499,-0.1682288654805871,0.0484645052036582,Garut,0
0.3378191745118017,0.2212742093799442,0.409183822462571,0.3891927234353782,0.3555276454691261,0.5240030881386823,0.0764565571039319,0.3962063986347518,Garut,0
