scaled_log_Value of rice purchase (IDR),scaled_log_Building rent cost (IDR),scaled_log_Labor cost (IDR),scaled_log_Supporting equipment cost (IDR),scaled_log_Value of rice sold (IDR),Regency,Regency_encoded
-6.734367649671825,0.0,0.0,-0.415037090697664,-0.5389962626375571,Garut,0
0.345652019625993,0.0,0.0,0.0,0.1541506322082249,Garut,0
0.345652019625993,0.0,0.0,0.0,0.1541506322082249,Garut,0
0.3262042682146773,0.0,0.0,-2.73693788041338,0.0,Garut,0
0.0,0.0,0.0,0.584962909302336,0.1541506322082249,Garut,0
-0.6737957317853226,0.0,0.0,-0.9999975955267588,0.0,Garut,0
-3.0150308087184805,0.0,-1.7917578025633318,-0.415037090697664,0.0,Garut,0
0.345652019625993,-2.4094174182018167,-0.6931468472267799,0.584962909302336,0.1541506322082249,Garut,0
0.3262042682146773,-2.4094174182018167,-0.6931468472267799,0.584962909302336,0.0,Garut,0
-2.9085115441051546,0.0,0.0,-0.415037090697664,0.0,Garut,0
0.345652019625993,-2.4094174182018167,-0.6931468472267799,0.584962909302336,0.1541506322082249,Garut,0
0.0,-1.0,-0.6931468472267799,0.584962909302336,0.0,Garut,0
0.345652019625993,-2.4094174182018167,-0.6931468472267799,0.584962909302336,0.182321501238416,Garut,0
-0.6737957317853226,-2.4094174182018167,-2.7080455344479883,0.0,0.0,Garut,0
0.3262042682146773,0.0,0.0,-2.3219104073922865,0.0,Garut,0
-0.5672764563576881,-1.0,0.1541506322082249,0.0,0.1541506322082249,Garut,0
0.3262042682146773,-2.4094174182018167,0.1541506322082249,-0.9999975955267588,0.1541506322082249,Garut,0
0.0,0.0,0.0,0.584962909302336,0.1541506322082249,Garut,0
0.3262042682146773,-2.4094174182018167,-1.0986116220018882,-0.415037090697664,0.0,Garut,0
-3.3412350308300107,0.0,0.0,0.584962909302336,0.1541506322082249,Garut,0
0.3262042682146773,-2.4094174182018167,0.1541506322082249,0.584962909302336,0.0,Garut,0
0.345652019625993,-2.4094174182018167,0.1541506322082249,0.584962909302336,0.182321501238416,Garut,0
0.0,0.0,0.0,-0.9999975955267588,0.1541506322082249,Garut,0
-1.567276421751845,0.0,0.0,0.584962909302336,-0.1823214901273129,Indramayu,1
-0.5672764563576881,0.0,-1.0986116220018882,0.584962909302336,-0.5108254015438671,Indramayu,1
0.0,0.0,0.0,-0.415037090697664,0.1541506322082249,Indramayu,1
-0.6737957317853226,0.0,0.0,0.0,-0.1823214901273129,Indramayu,1
-3.0150308087184805,0.0,0.0,0.0,0.1541506322082249,Indramayu,1
0.3262042682146773,0.0,0.0,0.0,0.0,Indramayu,1
-3.0150308087184805,-2.4094174182018167,0.0,0.0,-0.1823214901273129,Indramayu,1
-15.7008444227014,-4.818817456396513,0.0,-1.473925452545307,-1.4552861373697112,Indramayu,1
-3.4522631274398377,0.0,0.0,-1.473925452545307,-0.2957141294537493,Indramayu,1
0.3262042682146773,0.0,0.0,0.0,-0.1823214901273129,Indramayu,1
0.3262042682146773,3.0431889105506773,0.0,0.0,0.0,Indramayu,1
0.3262042682146773,0.0,0.4054649969970842,1.0000012022411309,0.1541506322082249,Indramayu,1
0.3262042682146773,-2.4094174182018167,0.2876819891184716,0.0,0.182321501238416,Indramayu,1
-0.5672764563576881,0.7756612783626526,-0.4054649414415667,1.0000012022411309,0.0,Indramayu,1
0.3262042682146773,0.0,0.0,0.0,0.1541506322082249,Indramayu,1
-3.3412350308300107,0.0,0.2876819891184716,0.0,0.0,Indramayu,1
-3.3412350308300107,-1.0,0.0,-1.999987977705926,-0.4567582095133424,Karawang,2
0.3262042682146773,0.0,0.0,-0.9999975955267588,-0.1823214901273129,Karawang,2
0.3262042682146773,0.0,0.0,0.0,0.0,Karawang,2
-0.6737957317853226,0.0,0.0,0.584962909302336,0.0,Karawang,2
0.3262042682146773,-2.4094174182018167,0.0,0.0,0.0,Karawang,2
-0.5672764563576881,0.0,-0.6931468472267799,0.584962909302336,0.0,Karawang,2
-0.5672764563576881,0.0,0.0,0.0,0.0,Karawang,2
0.3262042682146773,0.0,0.0,0.584962909302336,0.0,Karawang,2
-0.6737957317853226,0.0,0.0,0.3219282003384663,-0.1823214901273129,Karawang,2
0.3262042682146773,0.0,0.0,-0.415037090697664,-0.1823214901273129,Karawang,2
0.3262042682146773,0.0,0.0,0.0,0.0,Karawang,2
-3.908511403518994,0.7756612783626526,0.0,0.584962909302336,0.0,Karawang,2
0.3262042682146773,0.0,0.0,0.0,0.0,Karawang,2
0.3262042682146773,0.0,0.0,-0.415037090697664,0.0,Karawang,2
0.3262042682146773,-2.4094174182018167,0.0,-1.999987977705926,0.0,Karawang,2
-3.0150308087184805,-2.4094174182018167,0.0,0.0,0.0,Karawang,2
0.3262042682146773,-1.0,-1.7917578025633336,0.3219282003384663,-0.1823214901273129,Subang,3
-0.999999987705825,0.0,0.0,-0.415037090697664,-0.1823214901273129,Subang,3
-3.0150308087184805,-1.0,-2.4849029831292797,-0.415037090697664,-0.1823214901273129,Subang,3
0.3262042682146773,-1.0,-1.7917578025633336,0.8073557131212421,0.0,Subang,3
0.3262042682146773,0.0,0.0,-1.321923631846342,0.0,Subang,3
-3.3412350308300107,0.0,0.0,-0.9999975955267588,0.0,Subang,3
0.3262042682146773,-1.0,0.0,-0.415037090697664,0.0,Subang,3
-0.6737957317853226,-1.0,0.0,-0.415037090697664,-0.1823214901273129,Subang,3
-5.144297678485133,0.0,-2.7080455344479883,-0.9999975955267588,-0.4054649414415667,Subang,3
-0.5672764563576881,1.4094232115954557,-0.3566748010816472,0.584962909302336,0.0,Subang,3
0.3262042682146773,0.0,0.0,-0.9999975955267588,0.0,Subang,3
-0.6737957317853226,0.0,-1.7917578025633336,-0.9999975955267588,0.1028573528582637,Subang,3
0.3262042682146773,0.0,0.0,-0.9999975955267588,0.1541506322082249,Subang,3
0.0,0.0,-0.6931468472267799,-1.999987977705926,0.0,Subang,3
0.3262042682146773,0.0,-1.0986116220018882,-0.9999975955267588,0.0,Subang,3
-1.567276421751845,0.0,0.0,-1.999987977705926,0.0,Subang,3
-4.204081846454729,0.0,0.0,-1.999987977705926,-0.4054649414415667,Subang,3
-6.545316495140895,0.0,0.0,-1.999987977705926,-0.5108254015438671,Subang,3
-4.204081846454729,0.0,0.0,-1.999987977705926,-0.6286083677558469,Subang,3
-0.5672764563576881,0.0,0.0,0.0,0.0,Tasikmalaya,4
0.3262042682146773,0.0,0.4700035042457688,0.0,0.0,Tasikmalaya,4
0.0,0.0,0.0,0.0,0.0,Tasikmalaya,4
-3.0150308087184805,0.0,0.6241541543111282,0.0,0.0,Tasikmalaya,4
0.3262042682146773,0.0,0.0,0.584962909302336,0.0,Tasikmalaya,4
2.2585805905353875,0.0,0.0,1.3219301239257182,0.1441002992407263,Tasikmalaya,4
0.3262042682146773,0.0,0.0,0.3219282003384663,0.0,Tasikmalaya,4
0.3262042682146773,-1.0,0.0,0.3219282003384663,0.0,Tasikmalaya,4
-0.6737957317853226,0.0,-0.1053604786208026,-0.415037090697664,0.0,Tasikmalaya,4
0.0,-1.0,0.0,0.3219282003384663,0.0,Tasikmalaya,4
-0.5672764563576881,0.0,0.0,-0.1520030229284045,0.0,Tasikmalaya,4
0.3262042682146773,0.0,0.0,0.0,0.0,Tasikmalaya,4
-0.6737957317853226,-1.0,0.0,0.3219282003384663,0.0,Tasikmalaya,4
-0.999999987705825,0.0,-0.5108254015438671,-0.415037090697664,0.0,Tasikmalaya,4
0.3262042682146773,1.4094232115954557,0.0,0.0,0.0,Tasikmalaya,4
0.3262042682146773,1.4094232115954557,0.0,0.584962909302336,0.0,Tasikmalaya,4
0.0,-2.4094174182018167,0.0,0.0,0.0,Tasikmalaya,4
0.3262042682146773,1.6337635264201575,0.0,0.0,0.0,Tasikmalaya,4
-0.5672764563576881,1.6337635264201575,0.0,0.8073557131212421,0.0,Tasikmalaya,4
0.3262042682146773,0.0,0.0,0.584962909302336,0.0,Tasikmalaya,4
-3.3412350308300107,0.0,0.0,0.0,0.0,Tasikmalaya,4
0.3262042682146773,0.0,0.0,0.0,0.0,Tasikmalaya,4
0.3262042682146773,0.0,0.0,1.0000012022411309,0.1598486516994874,Tasikmalaya,4
0.3262042682146773,0.0,0.0,-0.415037090697664,0.1598486516994874,Tasikmalaya,4
-0.6737957317853226,-1.0,0.0,0.0,-0.4054649414415667,Tasikmalaya,4
0.91292849457671,0.0,-2.014900853878668,0.0,-0.2876819613407129,Tasikmalaya,4
-1.567276421751845,0.0,-0.4054649414415667,1.3219301239257182,0.0,Tasikmalaya,4
0.3262042682146773,0.7756612783626526,-0.4054649414415667,0.584962909302336,-0.1823214901273129,Tasikmalaya,4
