scaled_log_Value of milled grains (IDR),scaled_log_Labor cost (IDR),scaled_log_Supporting equipment cost (IDR),scaled_log_nilaiberashasilgiling,scaled_log_Total revenue of milling machine (IDR),scaled_log_Amount of milled rice (Kg),scaled_log_Number of machines (unit),Regency,Regency_encoded
0.4231321751951982,0.4655580469914651,0.0,0.4581006769191839,0.5341909537620364,0.4273580938923046,0.7369655941662059,Garut,0
0.4024699979469363,0.2621886910890213,0.0,0.4914465584594002,0.5060864744508763,0.4472198251643798,1.0,Garut,0
0.2890648289638671,-0.903976065804321,0.4536536891765488,0.4285241893098353,0.44180064041484,0.3844675200799897,0.0,Garut,0
0.338184170544672,-0.1649077895803591,0.9536541099624108,0.4285241893098353,0.44180064041484,0.3844675200799897,0.0,Garut,0
0.382122918863013,0.4617526822360209,0.0,0.4549955407440622,0.4581569500648625,0.4108672953540389,-0.5849625007211564,Garut,0
0.2293871412878975,-0.3695341801891673,0.1701332018115614,-0.6902981870787696,0.2890648484183882,-0.7178070098384081,-0.5849625007211564,Garut,0
0.1251533368638946,-0.3695341801891673,0.5851709943229407,0.2085125955245132,0.3657666372701447,0.1650529931838053,-0.5849625007211564,Garut,0
0.0,-0.903976065804321,0.4536536891765488,0.1455902265369268,0.1527357858478973,0.1023023034294667,0.7369655941662059,Garut,0
0.0930580895516195,-0.3695341801891673,0.1611722425697541,0.1455902265369268,0.2287697871391134,0.1023023034294667,0.0,Garut,0
0.0582852574893994,-1.001256924711661,0.4536536891765488,0.1100732766823836,0.1690920949632633,0.0668824913368965,0.4150374992788436,Garut,0
-0.1960067383696672,0.4617526822360209,-0.7833121480329713,-0.1373437351021261,-0.1199727467719124,-0.1798516064490935,-0.5849625007211564,Garut,0
-0.3650988218271391,-1.001256924711661,-0.3388279377669158,-0.3028494919002664,-0.1094144005596759,-0.3448916785563136,-0.5849625007211564,Garut,0
-0.5234866222401869,0.4617526822360209,0.2166879321166453,-0.4786896581918478,-0.5020956374461826,-0.5202245822290971,-0.5849625007211564,Garut,0
-0.6711877377485971,-0.3695341801891673,-0.6965707950991386,-0.5113620841851975,-0.3224452283500906,-0.5528008458025765,-0.5849625007211564,Garut,0
-0.7472217302643428,-0.3695341801891673,0.0,-0.5857834490039047,-0.3984792168986526,-0.6270003707668484,0.0,Garut,0
-0.6220683979054281,-1.2965843210333572,-0.3036332700897327,-0.6287902852465981,-0.6220683530297861,-0.6698770030906064,-0.5849625007211564,Garut,0
-0.8468473899514108,0.4617526822360209,-0.9645970022146032,-0.7313736706814596,-0.726874574417879,-0.7721427073553717,-0.5849625007211564,Garut,0
-0.8671944677776171,-1.3695338766045138,0.0,-0.8176273812749033,-0.61151000993638,-0.8348643354109453,-0.5849625007211564,Garut,0
-0.8671944677776171,0.4617526822360209,-0.0463466113846876,-0.7448040200971786,-0.7911603722500224,-0.7721427073553717,-0.5849625007211564,Garut,0
-0.827447037491451,0.4617526822360209,-0.4997919790402192,-0.7313736706814596,-0.7911603722500224,-0.7721427073553717,-0.5849625007211564,Garut,0
-1.3253513291124956,-0.3695341801891673,-1.707308127952574,-1.28574254456735,-1.2493168143914282,-1.2816517196809398,-0.5849625007211564,Garut,0
