scaled_log_Value of rice purchase (IDR),scaled_log_Building rent cost (IDR),scaled_log_Labor cost (IDR),scaled_log_Supporting equipment cost (IDR),scaled_log_Value of rice sold (IDR),scaled_Precipitation quality (%),Regency,Regency_encoded
-0.4409402110931952,9.388333053155122,-0.7547725524552468,-0.7770185200815122,-0.3717030451687578,-0.3333333333333333,Garut,0
-3.160995872490942,4.106283967391466,-3.397955441040449,-1.1383113047540798,-1.894433549220039,-0.3333333333333333,Garut,0
-3.160995872490942,4.106283967391466,-3.397955441040449,-1.1383113047540798,-1.894433549220039,-0.3333333333333333,Garut,0
-2.444673570950402,4.106283967391466,-2.7278463887245925,0.5992709055299543,-1.5305862538320287,-0.3333333333333333,Garut,0
0.0,0.0,0.0,-0.2867744728294178,-1.188092347516326,-0.6666666666666666,Garut,0
-1.7932351186837616,0.0,0.0,-0.7770185200815122,-1.1330683144091154,-0.3333333333333333,Garut,0
1.43162045533046,5.923343717672417,-0.84527857893146,0.0,-0.9511446566146388,-0.3333333333333333,Garut,0
-0.7991013869361662,-4.395507064147445,-0.909282348210908,-1.1383113047540798,-0.6344656498867789,-0.3333333333333333,Garut,0
-0.6710450164110563,0.0,0.0,0.0,-0.5088739402256426,-0.3333333333333333,Garut,0
-0.4966359318285866,-4.395507064147445,-0.1382137364483878,0.3612931618843197,-0.4383306614999399,-0.3333333333333333,Garut,0
0.0,0.0,0.0,-0.2867744728294178,-0.3780586511317461,0.6666666666666666,Garut,0
-0.2943015613536806,-4.395507064147445,-0.7547725524552468,-0.7770185200815122,-0.3717030451687578,-0.3333333333333333,Garut,0
-0.2269884352672791,0.0,-0.6165588269386689,-1.1383113047540798,-0.283320741537935,-0.3333333333333333,Garut,0
0.3416710091910935,-4.395507064147445,-0.1751687770068181,0.3612931618843197,-0.0844422446241132,-0.3333333333333333,Garut,0
0.5047998288587756,0.0,0.0,-0.2867744728294178,-0.0550240347041224,0.0,Garut,0
-0.2943015613536806,1.0,0.0,-0.2867744728294178,0.0,0.6666666666666666,Garut,0
0.5047998288587756,0.0,0.0,-0.7770185200815122,0.0883823039974186,-0.3333333333333333,Garut,0
1.2046320185706532,4.106283967391466,-0.6165588269386689,0.5992709055299543,0.5049582801147109,-0.3333333333333333,Garut,0
1.840604592988728,1.8170595262099556,0.0,0.3612931618843197,0.7063412466088981,-0.3333333333333333,Garut,0
-2.16686219146514,0.0,0.0,-0.2867744728294178,0.0186923206729848,-0.6666666666666666,Garut,0
-1.1572625610499916,0.0,0.0,-0.2867744728294178,-0.8163893097572422,-0.6666666666666666,Garut,0
-0.4409402110931952,0.0,0.0,0.0,-0.4525419892178584,-0.3333333333333333,Garut,0
-1.1572625610499916,0.0,0.0,-0.564762778219393,-0.8163893097572422,0.0,Garut,0
-0.4409402110931952,0.0,0.0,-0.7770185200815122,-0.4525419892178584,-0.3333333333333333,Garut,0
0.0,0.0,0.0,-0.2867744728294178,-1.0177722718918585,-0.6,Garut,0
0.0,3.1062838553559766,-1.2866685788893375,-0.2867744728294178,-0.1152960453278217,-0.6666666666666666,Indramayu,1
0.0,0.0,0.0,0.4902442830095795,0.0,-0.6666666666666666,Indramayu,1
0.0,0.0,1.2020060006648483,0.3612931618843197,0.9108522203033814,-0.6666666666666666,Indramayu,1
0.0,9.029627983825236,1.4411785750614792,0.3612931618843197,0.0,-0.6666666666666666,Indramayu,1
0.0,0.0,1.0637922532846509,1.3417818575701812,0.0,-0.6666666666666666,Indramayu,1
